control_zone_id,month_id,total_cost,redispatching_cost,countertrading_cost
3,1,50063636.27,49714455.33,349180.94
2,1,0.0,0.0,0.0
1,1,42382195.61,42382195.61,0.0
4,1,0.0,0.0,0.0
1,2,18353177.2,18336250.93,16926.27
4,2,0.0,0.0,0.0
2,2,0.0,0.0,0.0
3,2,35815457.11,35527350.2,288106.91
1,3,50247400.12,50146701.42,100698.7
4,3,7072761.98,7072761.98,0.0
3,3,58242773.35,57786901.65,455871.7
2,3,0.0,0.0,0.0
3,4,32464546.94,32118482.25,346064.69
4,4,1973856.94,1973856.94,0.0
1,4,15076451.66,14954753.16,121698.5
2,4,9268.64,9268.64,0.0
3,5,39674418.06,39222675.59,451742.47
1,5,6579419.6,6254026.07,325393.53
2,5,270434.0,270434.0,0.0
4,5,0.0,0.0,0.0
3,6,20537259.46,20133062.76,404196.7
4,6,0.0,0.0,0.0
2,6,163041.76,163041.76,0.0
1,6,3414077.84,3301152.0,112925.84
3,7,49187191.43,47465791.98,1721399.45
4,7,0.0,0.0,0.0
1,7,25465244.17,25465244.17,0.0
2,7,762.96,762.96,0.0
1,8,16575332.57,16575332.57,0.0
3,8,18874108.94,17399470.24,1473818.7
2,8,0.0,0.0,0.0
4,8,0.0,0.0,0.0
3,9,28331919.34,27029649.48,1302269.86
1,9,37366343.49,36059650.48,1306693.01
4,9,285963.0,285963.0,0.0
2,9,166831.35,166831.35,0.0
4,10,649637.97,649637.97,0.0
2,10,345039.41,345039.41,0.0
3,10,23054974.04,19254385.09,3800588.95
1,10,11440064.8,11440064.8,0.0
2,11,148494.12,148494.12,0.0
1,11,57817143.69,57253315.36,563828.33
4,11,2265465.33,2265465.33,0.0
3,11,91991316.49,90165302.43,1826014.06
1,12,69742711.43,65961268.81,3781442.62
3,12,125541844.85,121417043.8,4124801.05
4,12,1852018.44,1852018.44,0.0
2,12,340797.0,340797.0,0.0
2,13,912758.44,912758.44,0.0
1,13,30525735.11,28634281.62,1891453.49
4,13,4740137.3,4740137.3,0.0
3,13,85648676.0,83742489.0,1906187.0
1,14,33511153.42,32341342.11,1169811.31
2,14,854170.03,854170.03,0.0
4,14,5285094.36,5285094.36,0.0
3,14,68662653.0,67405992.0,1256661.0
1,15,8542509.24,8194352.69,348156.55
3,15,37366697.0,36981643.0,385054.0
4,15,93665.21,93665.21,0.0
2,15,574196.09,574196.09,0.0
3,16,33761339.0,33278524.0,482815.0
1,16,14823341.45,14465106.29,358235.16
4,16,2685017.93,2685017.93,0.0
2,16,63220.46,63220.46,0.0
3,17,16869602.0,16436441.0,433161.0
2,17,88212.68,88212.68,0.0
4,17,422712.59,422712.59,0.0
1,17,9582721.96,9229486.02,353235.94
2,18,0.0,0.0,0.0
1,18,1382115.36,1381945.76,169.6
3,18,6014645.0,6019769.0,-5124.0
4,18,118818.71,118818.71,0.0
1,19,6459794.69,6404825.87,54968.82
4,19,170877.53,170877.53,0.0
3,19,23767758.0,23712789.0,54969.0
2,19,0.0,0.0,0.0
1,20,2387227.91,2327636.39,59591.52
3,20,18484858.0,18407575.0,77283.0
4,20,168754.98,168754.98,0.0
2,20,675352.72,675352.72,0.0
1,21,8732618.33,8536485.67,196132.66
4,21,168155.3,168155.3,0.0
2,21,465477.11,465477.11,0.0
3,21,20579585.0,20383453.0,196132.0
1,22,11090199.62,10660474.81,429724.81
4,22,1341965.49,1341965.49,0.0
2,22,171008.78,171008.78,0.0
3,22,33475951.0,32978145.0,497806.0
4,23,1964237.31,1964237.31,0.0
1,23,20350604.65,20024184.04,326420.61
2,23,719065.24,719065.24,0.0
3,23,35483123.0,35156703.0,326420.0
1,24,37067800.24,34637029.99,2430770.25
2,24,8887196.43,8887196.43,0.0
4,24,2579020.76,2579020.76,0.0
3,24,98064393.0,95635474.0,2428919.0
1,25,39856530.0,38883744.14,972785.86
4,25,10171688.14,10171688.14,0.0
3,25,98080232.58,96106453.14,1973779.44
2,25,31057611.05,31057611.05,0.0
1,26,32102228.0,27551368.35,4550859.65
3,26,92503135.53,88746442.63,3746119.92
4,26,5273603.7,5273603.7,0.0
2,26,18957814.89,18957814.89,0.0
1,27,21577792.0,21488296.91,89495.09
3,27,54164852.03,54002386.08,162465.95
4,27,1795360.98,1795360.98,0.0
2,27,6024332.68,6024332.68,0.0
1,28,16915064.0,16915064.0,0.0
4,28,3234499.22,3234499.22,0.0
3,28,76322289.12,76299479.31,22809.81
2,28,2751366.11,2751366.11,0.0
3,29,21743937.48,21501249.97,242687.51
4,29,1267351.45,1267351.45,0.0
1,29,4841789.0,4776269.51,65519.49
2,29,2105642.9,2105642.9,0.0
1,30,9342984.0,9342984.0,0.0
3,30,51593611.44,51593611.44,0.0
4,30,1552072.28,1552072.28,0.0
2,30,1846900.48,1846900.48,0.0
3,31,29779129.53,29749405.02,29724.51
1,31,10691015.0,10691015.0,0.0
4,31,96240.61,96240.61,0.0
2,31,2302630.77,2302630.77,0.0
3,32,13897842.29,13294554.65,603287.64
1,32,7198420.0,6929530.08,268889.92
4,32,385737.43,385737.43,0.0
2,32,758110.65,758110.65,0.0
3,33,24273813.41,24060481.34,167987.38
4,33,454056.34,454056.34,0.0
1,33,10698431.0,10582342.2,116088.8
2,33,3077493.06,3077493.06,0.0
3,34,107079514.27,100414000.07,6615222.51
2,34,15729193.54,15729193.54,0.0
1,34,23741670.0,23741670.0,0.0
4,34,200541.23,200541.23,0.0
4,35,1110327.98,1110327.98,0.0
1,35,14880289.0,14880289.0,0.0
3,35,86505149.03,80661837.13,5843311.9
2,35,15133282.42,15133282.42,0.0
4,36,317377.36,317377.36,0.0
3,36,114543099.09,111586151.51,2912967.14
1,36,15977903.0,15977903.0,0.0
2,36,16475596.86,16475596.86,0.0
1,37,17982604.87,17982604.87,0.0
3,37,96922305.0,95374572.0,1547733.0
4,37,117837.8,117837.8,0.0
2,37,13850827.48,13850827.48,0.0
4,38,29416.96,29416.96,0.0
1,38,3354411.23,3298411.23,0.0
3,38,63531805.0,62079924.0,1419031.0
2,38,6623460.21,6623460.21,0.0
3,39,129119878.0,126398750.0,2659542.0
4,39,119192.06,119192.06,0.0
1,39,10287063.56,10141813.2,145250.36
2,39,15765968.51,15765968.51,0.0
3,40,46209216.0,46167452.0,41764.0
4,40,799951.86,799951.86,0.0
1,40,10867391.08,10865935.08,0.0
2,40,5181838.56,5181838.56,0.0
4,41,2753024.28,2753024.28,0.0
1,41,3688223.53,3593041.48,37112.05
3,41,28056421.0,25542093.0,2501838.0
2,41,2195408.81,2195408.81,0.0
3,42,38159774.0,36816813.0,1342961.0
4,42,1118275.97,1118275.97,0.0
1,42,2499647.33,2454626.45,45020.88
2,42,2154860.14,2154860.14,0.0
4,43,1027746.61,1027746.61,0.0
1,43,993060.77,993060.77,0.0
3,43,24525832.0,24187823.0,338009.0
2,43,5952195.37,5952195.37,0.0
3,44,37591598.0,36577535.0,1011857.0
1,44,6617301.81,6585167.56,32134.25
4,44,159358.9,159358.9,0.0
2,44,1404688.31,1404688.31,0.0
3,45,66995714.0,62884121.0,4111224.0
1,45,8335953.01,8335953.01,0.0
4,45,1536880.53,1536880.53,0.0
2,45,12793756.44,12793756.44,0.0
1,46,22501600.58,22270452.13,151548.45
3,46,100986455.0,91541089.0,9440387.0
4,46,2859352.84,2859352.84,0.0
2,46,23285199.06,23285199.06,0.0
4,47,1102172.49,1102172.49,0.0
3,47,115186396.0,107724475.0,7461455.0
1,47,3148898.24,3148898.24,0.0
2,47,21941150.63,21941150.63,0.0
3,48,119218847.0,114944949.0,4273898.0
1,48,14256038.57,14111738.57,0.0
4,48,239488.47,239488.47,0.0
2,48,22769021.64,22769021.64,0.0
1,49,13185903.24,13162956.82,22946.42
4,49,872678.15,872678.15,0.0
3,49,143813390.0,135742762.0,8070316.0
2,49,24922474.35,24922474.35,0.0
1,50,8323324.51,8222183.41,101141.1
4,50,1836731.94,1836731.94,0.0
3,50,106050989.0,100435987.0,5613473.0
2,50,14145926.25,14145926.25,0.0
4,51,127666.56,127666.56,0.0
1,51,21960281.91,21891421.91,68860.0
2,51,9826649.79,9826649.79,0.0
3,51,144773911.0,141189776.0,3554445.0
4,52,978719.21,978719.21,0.0
2,52,2329290.22,2329290.22,0.0
1,52,8710107.35,8228412.32,481695.03
3,52,40337145.0,29436365.0,10898171.0
4,53,3185762.23,3185762.23,0.0
1,53,2469221.15,2380533.22,88687.93
3,53,38709343.0,31698005.0,7010649.0
2,53,1241949.07,1241949.07,0.0
4,54,3347001.86,3347001.86,0.0
3,54,35721462.0,24006802.0,11655217.0
1,54,2959770.18,2959770.18,0.0
2,54,1116739.55,1116739.55,0.0
1,55,6240772.41,5919230.6,321541.81
2,55,1919481.4,1919481.4,0.0
4,55,521061.36,521061.36,0.0
3,55,56746431.0,32672294.0,24073318.0
4,56,3734201.05,3734201.05,0.0
1,56,1022206.59,946865.19,75341.4
3,56,33761569.0,14640898.0,19114586.0
2,56,672242.31,672242.31,0.0
4,57,2800093.59,2800093.59,0.0
3,57,73998717.0,37067994.0,36925470.0
1,57,5112215.25,5038263.05,73952.2
2,57,5846474.82,5846474.82,0.0
4,58,640141.37,640141.37,0.0
3,58,58338690.0,43019338.0,15314391.0
2,58,6002982.04,6002982.04,0.0
1,58,4160850.98,4160850.98,0.0
1,59,2530516.29,2530516.29,0.0
4,59,148490.76,148490.76,0.0
3,59,36078205.0,26078235.0,9987657.0
2,59,2119173.96,2119173.96,0.0
4,60,288578.12,288578.12,0.0
1,60,7706919.91,7706919.91,0.0
3,60,102156614.0,88106276.0,13899523.0
2,60,14313948.03,14313948.03,0.0
4,61,468899.42,468899.42,0.0
2,61,15688893.23,15688893.23,0.0
3,61,138763005.83,112963213.17,25789103.34
1,61,16775520.17,16775520.17,0.0
1,62,18836601.6,18836601.6,0.0
4,62,240481.96,240481.96,0.0
2,62,22150103.02,22150103.02,0.0
3,62,154253280.32,129483609.89,24688988.11
1,63,5557546.25,5510833.25,46713.0
3,63,92458125.0,71024491.99,21420742.02
2,63,13249986.29,13249986.29,0.0
4,63,400567.33,400567.33,0.0
1,64,5523442.6,5523442.6,0.0
4,64,4617800.12,4617800.12,0.0
3,64,71546439.57,50026614.56,21463233.05
2,64,7480976.3,7480976.3,0.0
3,65,46858738.35,29998379.13,16788298.62
2,65,3889977.2,3889977.2,0.0
1,65,2582904.92,2582904.92,0.0
4,65,3707736.67,3707736.67,0.0
1,66,2735231.67,2552502.37,182729.3
3,66,38003028.59,25468459.83,12532207.03
2,66,3642805.78,3642805.78,0.0
4,66,5539675.66,5539675.66,0.0
1,67,2989346.23,2989346.23,0.0
2,67,3292430.03,3292430.03,0.0
3,67,47416391.47,32039764.85,15374228.62
4,67,848022.99,848022.99,0.0
1,68,3693825.63,3675804.15,18021.48
3,68,46584237.71,35731045.99,10850286.64
2,68,11613818.42,11613818.42,0.0
4,68,1317009.92,1317009.92,0.0
1,69,1454035.8,1454035.8,0.0
3,69,43364613.43,31942305.18,11417428.6
2,69,8961868.1,8961868.1,0.0
4,69,629019.12,629019.12,0.0
1,70,7604775.05,7604775.05,0.0
3,70,64188173.02,47701838.29,16410083.14
2,70,6638283.49,6638283.49,0.0
4,70,557481.31,557481.31,0.0
3,71,120905861.21,89325067.22,31564746.11
1,71,7851726.77,7808282.21,43444.56
4,71,1707736.11,1707736.11,0.0
2,71,16325473.96,16325473.96,0.0
2,72,15256278.23,15256278.23,0.0
4,72,709812.42,709812.42,0.0
1,72,5614670.8,4913695.28,700975.52
3,72,79700779.64,53046326.02,26652946.8
3,73,103035120.64,72049030.04,30986090.61
1,73,4338850.36,4285904.52,52945.84
2,73,26367706.04,26367706.04,0.0
4,73,5450135.38,5450135.38,0.0
4,74,79702.82,79702.82,0.0
1,74,977054.35,901715.85,75338.5
3,74,88865577.53,63929553.49,24936024.04
2,74,15371655.93,15371655.93,0.0
1,75,2761677.23,2677284.63,84392.6
3,75,101797203.72,71176052.34,30615562.63
4,75,828949.62,828949.62,0.0
2,75,17080718.78,17080718.78,0.0
4,76,2928248.24,2928248.24,0.0
2,76,21053952.45,21053952.45,0.0
1,76,5849853.64,5633469.08,216384.56
3,76,121983654.67,80887800.67,41029693.32
4,77,3318658.33,3318658.33,0.0
3,77,86758109.76,67980076.01,18707201.77
2,77,22653013.78,22653013.78,0.0
1,77,5558596.04,5423454.49,135141.55
4,78,4762660.12,4762660.12,0.0
2,78,11286071.2,11286071.2,0.0
3,78,21637161.16,4438112.14,17195052.91
1,78,2432442.02,1909152.93,523289.09
1,79,2193321.33,2193321.33,0.0
4,79,4910771.72,4910771.72,0.0
3,79,46044480.48,19169016.19,26868921.8
2,79,6324704.74,6324704.74,0.0
1,80,4804813.07,4769709.8,35103.27
2,80,7787805.07,7787805.07,0.0
3,80,52488073.96,29673629.04,22800587.03
4,80,805214.27,805214.27,0.0
1,81,7309308.8,6429847.09,879461.71
2,81,18174407.57,18174407.57,0.0
4,81,1433418.56,1433418.56,0.0
3,81,89772424.85,54484467.11,35224158.15
1,82,10248055.01,9876897.3,371157.71
4,82,8327123.49,8327123.49,0.0
3,82,206136999.67,90341142.15,115680286.22
2,82,59569035.01,59569035.01,0.0
3,83,195447464.59,81862718.48,113358400.29
4,83,22863428.0,22863428.0,0.0
1,83,29990321.72,28423562.7,1566759.02
2,83,61750231.66,61750231.66,0.0
3,84,179788845.23,88894282.54,90754204.27
4,84,45800559.0,45800559.0,0.0
2,84,70781320.19,70781320.19,0.0
1,84,34647868.17,33774395.41,873472.76
1,85,44921448.28,41775664.12,3145784.16
4,85,34742502.0,34742502.0,0.0
3,85,292529728.01,235743637.4,56561775.62
2,85,74492863.25,74492863.25,0.0
4,86,56608626.0,56610303.0,-1677.0
1,86,66232303.67,65952893.38,279410.29
3,86,293298174.12,236962189.32,56024265.32
2,86,136953105.3,136953105.3,0.0
1,87,38965105.78,38611530.69,353575.09
3,87,167071999.22,131621864.0,35404721.78
4,87,59240234.0,59240234.0,0.0
2,87,92006259.73,92006259.73,0.0
3,88,161667370.75,144528106.0,16919335.16
4,88,41088407.0,41088407.0,0.0
1,88,38298372.04,38118286.23,180085.81
2,88,84417976.38,84417976.38,0.0
1,89,23755647.72,23195940.33,559707.39
3,89,88326479.57,58655533.74,29497844.06
4,89,19449680.0,19449680.0,0.0
2,89,41051354.32,41051354.32,0.0
1,90,12330326.42,12303802.67,26523.75
3,90,58939736.34,49855955.0,9083781.34
4,90,19395255.0,19395255.0,0.0
2,90,28701544.92,28701544.92,0.0
1,91,22247982.31,21213024.94,1034957.37
4,91,12109247.0,12109247.0,0.0
3,91,190218322.25,133752027.29,56466256.34
2,91,77134726.76,77134726.76,0.0
1,92,7268739.76,7218767.03,49972.73
4,92,9684770.0,9684770.0,0.0
2,92,6707515.76,6707515.76,0.0
3,92,86221941.26,73550226.46,12602639.03
1,93,9636010.89,9449727.25,186283.64
3,93,119442995.78,100056051.8,19386772.8
4,93,8557698.0,8557698.0,0.0
2,93,96248693.12,96248693.12,0.0
4,94,9827321.0,9827321.0,0.0
3,94,120455939.14,104437740.97,16016603.66
1,94,13485628.37,13433766.03,51862.34
2,94,86210795.01,86210795.01,0.0
4,95,16842177.0,16842177.0,0.0
1,95,36630606.39,36249991.32,380615.07
3,95,238054179.52,194203937.53,43827999.64
2,95,88745948.51,88745948.51,0.0
4,96,27526710.0,27526710.0,0.0
2,96,84107282.89,84107282.89,0.0
3,96,111910104.88,100235798.74,11642860.15
1,96,19490882.78,18309554.32,1181328.46
4,97,44801546.0,44801546.0,0.0
1,97,32703544.9,32242670.9,460874.0
3,97,264220988.21,247162442.14,17058546.07
2,97,74069216.95,74069216.95,0.0
1,98,24915983.77,24460437.19,455546.58
4,98,38780606.0,38780606.0,0.0
3,98,228256434.42,209322331.7,18929370.23
2,98,62548862.71,62548862.71,0.0
1,99,24823931.75,24113199.67,710732.08
4,99,30143073.0,30143073.0,0.0
2,99,65153226.02,65153226.02,0.0
3,99,196107945.95,180634415.64,15473530.31
3,100,177879916.77,161493062.31,16386854.46
4,100,11858632.0,11858632.0,0.0
1,100,14514301.41,13082533.45,1431767.96
2,100,30746414.8,30746414.8,0.0
1,101,17978737.65,17791164.7,187572.95
4,101,5851991.0,5851991.0,0.0
2,101,13229309.43,13229309.43,0.0
3,101,109092709.14,90947270.97,18145438.17
1,102,9853588.1,9609371.43,244216.67
4,102,7018695.0,7018695.0,0.0
3,102,54888410.46,49535702.95,5352707.51
2,102,9565859.5,9565859.5,0.0
1,103,32235260.96,31767435.49,467825.47
3,103,152358450.67,142357455.3,10000995.37
2,103,32690005.09,32690005.09,0.0
4,103,9384174.0,9384174.0,0.0
1,104,12959533.86,12859718.59,99815.27
4,104,6118442.0,6118442.0,0.0
2,104,12275340.46,12275340.46,0.0
3,104,107368837.26,82671181.47,24697655.79
4,105,890831.0,890831.0,0.0
1,105,21405147.31,21233545.15,171602.16
2,105,18090176.37,18090176.37,0.0
3,105,108365176.53,95744214.84,12620961.69
1,106,35547621.4,34812149.26,735472.14
4,106,12930044.0,12930284.0,-240.0
2,106,36040160.54,36040160.54,0.0
3,106,226101642.23,202028681.96,24072960.27
4,107,9465126.0,9465126.0,0.0
3,107,121473730.63,116063935.25,5409795.38
2,107,26609730.75,26609730.75,0.0
1,107,27157193.78,26751562.22,405631.56
4,108,7259182.0,7259182.0,0.0
1,108,24717017.68,24575743.53,141274.15
3,108,173733590.94,170658050.88,3075540.06
2,108,13051824.95,13051824.95,0.0
1,109,25185597.41,25129897.34,55700.07
3,109,137858929.93,132214322.9,5644607.03
4,109,21056870.0,21056870.0,0.0
2,109,36340806.41,36340806.41,0.0
1,110,15062248.9,14920549.86,141699.04
4,110,12869444.0,12869444.0,0.0
2,110,27603068.68,27603068.68,0.0
3,110,101696949.58,97315171.68,4381777.9
1,111,8656346.35,8768438.7,-112092.35
4,111,4658586.0,4658586.0,0.0
3,111,49198811.1,44397570.04,4801241.06
2,111,8516262.0,8516262.0,0.0
3,112,64473140.89,58980798.22,5492342.67
4,112,6360919.0,6360919.0,0.0
2,112,7447211.2,7447211.2,0.0
1,112,13280830.97,13325496.62,-44665.65
4,113,7560168.0,7560168.0,0.0
1,113,28203783.99,27927055.9,276728.09
3,113,119766487.25,108136796.05,11629691.2
2,113,35377016.64,35377016.64,0.0
4,114,17070252.0,17070252.0,0.0
1,114,11658252.73,11015689.18,642563.55
3,114,45491055.86,36031478.27,9459577.59
2,114,25039887.56,25039887.56,0.0
1,115,7044720.38,7059821.08,-15100.7
4,115,1570854.0,1570854.0,0.0
2,115,6804208.83,6804208.83,0.0
3,115,32867199.39,28096268.43,4770930.96
4,116,2358315.0,2358315.0,0.0
1,116,10381767.01,10173886.24,207880.77
3,116,56205618.07,48937603.68,7268014.39
2,116,13165050.0,13165050.0,0.0
1,117,27859140.13,27796383.11,62757.02
4,117,3506658.0,3506658.0,0.0
3,117,114336492.57,108783807.84,5552684.73
2,117,36513237.96,36513237.96,0.0
1,118,17221795.01,17115841.19,105953.82
4,118,2033156.0,2033156.0,0.0
3,118,103969649.98,95920950.64,8048699.34
2,118,40713020.1,40713020.1,0.0
4,119,6177533.0,6177533.0,0.0
1,119,22514399.12,22030432.7,483966.42
3,119,136841015.71,123803068.83,13037946.88
2,119,59511281.13,59511281.13,0.0
1,120,51549480.39,51248956.24,300524.15
4,120,20509480.0,20509480.0,0.0
2,120,57327484.26,57327484.26,0.0
3,120,229142565.51,211376952.62,17765612.89
4,121,20677681.0,20677681.0,0.0
2,121,47732819.68,47732819.68,0.0
3,121,206607521.28,192346604.35,14260916.93
1,121,36272948.71,36121117.02,151831.69
4,122,8440857.0,8440857.0,0.0
2,122,33819571.64,33819571.64,0.0
3,122,108335562.06,96996509.82,11339052.24
