control_zone_id,month_id,total_load
1,1,9400512.455
1,2,8819759.6
1,3,8985095.4925
1,4,8254912.41
1,5,8039450.525
1,6,8138445.3
1,7,8305298.165
1,8,8239680.6975
1,9,8195418.3575
1,10,8587755.5925
1,11,8768782.885
1,12,8625788.1025
1,13,9417003.7975
1,14,8706205.9175
1,15,9021340.3675
1,16,8350718.04
1,17,8652063.7725
1,18,8108013.835
1,19,8284998.12
1,20,8266517.4125
1,21,8225752.4825
1,22,8629995.8275
1,23,9091994.2475
1,24,9183494.0525
1,25,9654899.235
1,26,8595138.4775
1,27,8997095.505
1,28,8197911.525
1,29,8370209.855
1,30,7958975.715
1,31,7970235.6625
1,32,8217808.5625
1,33,8238799.4825
1,34,8650082.2375
1,35,9005651.6925
1,36,9115516.8075
1,37,9866505.4575
1,38,9002066.865
1,39,9862855.45
1,40,8485273.135
1,41,8528980.9475
1,42,8495299.7
1,43,8517850.6475
1,44,8702463.6975
1,45,8538115.8625
1,46,9052392.645
1,47,9000974.79
1,48,8911522.4675
1,49,9278756.0675
1,50,8189377.8
1,51,8415228.8425
1,52,7612532.45
1,53,7859899.11
1,54,7387555.71
1,55,8331115.4125
1,56,8264912.6725
1,57,8463439.135
1,58,8902953.8075
1,59,9017408.07
1,60,8890559.7875
1,61,9495484.3175
1,62,9229270.2325
1,63,9099141.9775
1,64,7798978.765
1,65,7945619.2275
1,66,7855671.7875
1,67,8095715.7175
1,68,8098882.845
1,69,8227909.6175
1,70,9063134.025
1,71,9035177.215
1,72,9195183.9875
1,73,9899508.135
1,74,9128951.1225
1,75,9568394.2175
1,76,8807166.765
1,77,8499302.075
1,78,8240428.96
1,79,8423578.0125
1,80,8516695.7775
1,81,8421812.7825
1,82,9377474.5425
1,83,9644224.735
1,84,10025426.2575
1,85,10332598.42
1,86,9333396.105
1,87,9616111.0125
1,88,8640561.035
1,89,8390286.6125
1,90,7809527.3425
1,91,7946314.025
1,92,7800966.6725
1,93,7844064.3275
1,94,8211999.6875
1,95,8753175.73
1,96,8958596.375
1,97,9342713.8675
1,98,8525436.51
1,99,9095097.255
1,100,8098270.095
1,101,7781869.3775
1,102,7553108.2
1,103,7670733.3175
1,104,7744558.0325
1,105,7706775.07
1,106,8329844.205
1,107,8925733.735
1,108,9215904.2925
1,109,9667751.4575
1,110,8734565.71
1,111,8688811.94
1,112,8021000.042499999
1,113,7765194.765
1,114,7696342.5075
1,115,7966528.62
1,116,8040379.9525
1,117,8124448.14
1,118,8665130.745
1,119,9072395.6925
1,120,9189143.2275
1,121,9517322.09
1,122,8745197.305
2,1,16377958.7525
2,2,15196300.1975
2,3,16358100.365
2,4,14554159.755
2,5,14421059.7575
2,6,14212969.76
2,7,15063273.7375
2,8,14818919.9975
2,9,14903232.165
2,10,15561229.4425
2,11,15819820.4225
2,12,15309802.0525
2,13,16089944.1325
2,14,15544310.5525
2,15,15702376.175
2,16,14675211.8225
2,17,14568274.4825
2,18,14493074.1475
2,19,14902251.1675
2,20,14850254.6175
2,21,14115259.595
2,22,15447721.4125
2,23,16214539.87
2,24,16052018.61
2,25,17348287.9
2,26,15653260.055
2,27,16705063.1525
2,28,14854428.0675
2,29,15253441.4375
2,30,14773451.5175
2,31,15406119.555
2,32,14840790.5375
2,33,14756650.0725
2,34,15687799.52
2,35,16111927.04
2,36,16585910.885
2,37,17132294.96
2,38,15548478.2775
2,39,16729341.45
2,40,14801650.1775
2,41,15155417.8825
2,42,14919289.3425
2,43,15037824.575
2,44,15197391.4325
2,45,14847944.22
2,46,15866737.315
2,47,15802825.24
2,48,16090292.1075
2,49,17112134.975
2,50,15354401.35
2,51,16552303.1475
2,52,14980766.135
2,53,15522932.51
2,54,14490097.2675
2,55,15171215.0325
2,56,14755389.3725
2,57,14394204.32
2,58,15567875.765
2,59,15679180.975
2,60,15437136.6975
2,61,16430605.225
2,62,15724270.4425
2,63,15618686.98
2,64,13467123.48
2,65,13562041.3525
2,66,13301946.3125
2,67,13799351.72
2,68,14245362.355
2,69,14004229.01
2,70,15432754.2575
2,71,15555788.915
2,72,15647016.365
2,73,16703549.2025
2,74,15149800.41
2,75,16555150.9475
2,76,15154078.2825
2,77,14962888.4875
2,78,14678471.8875
2,79,15109204.08
2,80,14586910.07
2,81,14586807.6375
2,82,15752219.255
2,83,15470095.205
2,84,16024135.365
2,85,16655647.89
2,86,15181272.965
2,87,15860254.575
2,88,14598874.4825
2,89,14652530.9375
2,90,13619806.4625
2,91,13805574.8525
2,92,13536425.1125
2,93,13495051.2575
2,94,13622799.6975
2,95,13740046.38
2,96,14200766.4375
2,97,14672333.845
2,98,13011055.275
2,99,14287207.72
2,100,13091241.885
2,101,13056428.7975
2,102,12723040.79
2,103,12803863.58
2,104,12975064.755
2,105,12809551.0425
2,106,13832349.0975
2,107,14547437.765
2,108,14218875.7725
2,109,15801169.715
2,110,14383592.7375
2,111,14540641.485
2,112,13670456.3625
2,113,12973096.4675
2,114,12834189.8325
2,115,13194267.2
2,116,13463997.945
2,117,13081507.5675
2,118,13121689.5
2,119,14743277.03
2,120,14604593.4525
2,121,15867441.3075
2,122,14493769.12
3,1,13870725.28
3,2,12828700.5225
3,3,13580085.3925
3,4,12266155.6025
3,5,12067982.425
3,6,11976267.2725
3,7,12689991.33
3,8,12098479.84
3,9,12271779.1975
3,10,13189388.49
3,11,13329706.3825
3,12,13187340.4575
3,13,13940917.3975
3,14,13129611.3675
3,15,13426493.2525
3,16,12288086.4625
3,17,12027875.99
3,18,12074052.275
3,19,12234238.3125
3,20,12214764.015
3,21,12200905.6325
3,22,12879216.7525
3,23,13514570.3025
3,24,13632801.9325
3,25,14259489.2425
3,26,12618846.425
3,27,13208219.6225
3,28,12036853.005
3,29,12321327.185
3,30,11795095.795
3,31,12001306.6625
3,32,12158001.4825
3,33,12017167.6425
3,34,12789449.26
3,35,13371784.745
3,36,13453267.165
3,37,13756927.1075
3,38,12845231.8575
3,39,13648441.3325
3,40,11934970.0425
3,41,11956579.8275
3,42,11906880.94
3,43,12220803.92
3,44,12308596.255
3,45,11985418.91
3,46,12921105.375
3,47,13212334.355
3,48,13138272.0975
3,49,14068803.435
3,50,12489512.6425
3,51,13216633.31
3,52,11871155.935
3,53,12137717.3925
3,54,11558363.805
3,55,12246111.095
3,56,11833915.2175
3,57,11772682.1075
3,58,12620994.255
3,59,12896098.265
3,60,12888075.42
3,61,13771638.2825
3,62,12862676.15
3,63,12873784.28
3,64,10936221.9825
3,65,11118424.225
3,66,10885186.2375
3,67,11706806.28
3,68,11592754.985
3,69,11692492.5175
3,70,12926684.0725
3,71,12848729.1875
3,72,12789019.2825
3,73,13508521.985
3,74,12371446.0825
3,75,13300594.4775
3,76,12144564.7625
3,77,11932343.025
3,78,11773211.375
3,79,12105278.975
3,80,11712323.885
3,81,11726109.0
3,82,12797374.845
3,83,13265688.64
3,84,13422366.845
3,85,13739922.0825
3,86,12606217.595
3,87,13061590.3175
3,88,11990697.8175
3,89,11993353.255
3,90,11369340.1475
3,91,11710541.1775
3,92,11502732.84
3,93,11330730.1825
3,94,11854358.2025
3,95,12251636.435
3,96,12627263.515
3,97,12861520.135
3,98,11672324.185
3,99,12318576.5075
3,100,10392183.2225
3,101,11048577.885
3,102,10835979.8075
3,103,11168556.9275
3,104,11180780.5775
3,105,10902582.5975
3,106,11872914.29
3,107,12497302.5025
3,108,12563291.785
3,109,13192589.505
3,110,11961138.6575
3,111,12099515.89
3,112,11395294.5575
3,113,10920830.96
3,114,10770700.6175
3,115,11148664.045
3,116,11107348.48
3,117,10973901.87
3,118,11882859.5575
3,119,12479625.625
3,120,12552424.435
3,121,12634788.005
3,122,11388436.3675
4,1,5813888.6425
4,2,5544623.69
4,3,5746557.69
4,4,5135803.2
4,5,4901455.2525
4,6,4950479.2925
4,7,5329142.42
4,8,4858845.18
4,9,4993938.9125
4,10,5449795.23
4,11,5556961.965
4,12,5395364.83
4,13,5626261.0025
4,14,5544710.435
4,15,5711826.5675
4,16,5291011.42
4,17,4945986.6675
4,18,5046689.8375
4,19,5129526.28
4,20,4838012.895
4,21,4913736.25
4,22,5364842.1125
4,23,5683773.01
4,24,5672737.94
4,25,6165164.6025
4,26,5377987.3975
4,27,5601596.87
4,28,4961294.645
4,29,5156688.6875
4,30,4863870.3225
4,31,5140040.1225
4,32,4951818.955
4,33,4947450.1025
4,34,5306897.455
4,35,5723219.495
4,36,5613268.155
4,37,5768474.39
4,38,5572899.0125
4,39,5793082.5025
4,40,4988945.9825
4,41,4902260.145
4,42,4993193.255
4,43,5180311.05
4,44,4992478.375
4,45,4835979.42
4,46,5302254.035
4,47,5549489.5975
4,48,5414046.8675
4,49,5992688.9825
4,50,5312473.7325
4,51,5514641.365
4,52,5022019.5725
4,53,5102763.2225
4,54,4688716.1175
4,55,5178320.36
4,56,4689830.4425
4,57,4779000.2425
4,58,5233507.35
4,59,5422794.9775
4,60,5199566.2425
4,61,5635722.3425
4,62,5307034.1675
4,63,5303931.5475
4,64,4301559.6325
4,65,4461625.2325
4,66,4418730.965
4,67,4837206.8
4,68,4563561.625
4,69,4756677.15
4,70,5232409.11
4,71,5289696.99
4,72,5315932.5075
4,73,5527353.175
4,74,5103968.675
4,75,5502576.2625
4,76,4944449.775
4,77,4845355.865
4,78,4798244.2925
4,79,4979176.665
4,80,4594484.74
4,81,4773343.945
4,82,5241129.135
4,83,5523934.87
4,84,5420711.325
4,85,5571401.49
4,86,5196694.6675
4,87,5437821.875
4,88,4873009.9425
4,89,4851256.3975
4,90,4567694.885
4,91,4882057.2275
4,92,4615828.34
4,93,4686801.0575
4,94,4808515.365
4,95,5037696.22
4,96,5116535.52
4,97,5289255.4725
4,98,4927008.805
4,99,5215629.055
4,100,4560030.495
4,101,4448517.35
4,102,4357497.0275
4,103,4612166.8075
4,104,4411492.2025
4,105,4379602.24
4,106,4730776.2825
4,107,5129985.5525
4,108,4988470.1025
4,109,5447087.3
4,110,4873956.2675
4,111,4886262.155
4,112,4649180.6025
4,113,4326761.165
4,114,4403690.985
4,115,4671073.585
4,116,4298388.2725
4,117,4480066.5275
4,118,4820539.6575
4,119,5084296.17
4,120,5037793.1675
4,121,5696503.9825
4,122,5285262.0125
